	0	1	2	3	4	5	6	7	8	9
A01.pastVerbs	0.15514729103371297	-0.9074468422872608	0.11015639316607097	-0.009129469826998115	-0.14329965144491708	0.13262972621589758	0.09300758135876988	-0.09402269632472533	-0.0964778499483583	-0.03674395790425506
A03.presVerbs	0.19965961029063678	0.6710603084413325	0.05872014281749959	0.007042930284456063	0.0553407901611	-0.07940856793637024	-0.021195340803591457	0.12032096680025542	-0.08635928107644446	0.1516447441028097
B04.placeAdverbials	0.24683555594251413	-0.5605332421625435	0.14077282416453823	-0.11274421025942112	0.17648276800343227	-0.2401785166862662	0.003912940195273483	-0.04683012535108145	0.06944414299775323	-0.07626235728381846
B05.timeAdverbials	0.1603916478392599	-0.06343839854548097	0.07475765687609862	-0.04106390065620958	-0.07308906854085995	0.10537721587066251	-0.17777999405888242	0.05826262846583093	0.606349604329866	-0.12949339032444615
C06.1persProns	0.5806234009615865	0.08687171304582869	0.01134997983442204	-0.015524377992460538	0.039638773674813554	0.17256396963185766	0.08698431471381085	0.11386502701943374	0.13137470722950517	-0.11332411099797095
C07.2persProns	0.6126598360209001	0.17140548993055596	-0.22760931628674475	-0.11227264435897927	0.35814354708600155	-0.05153939524921853	-0.10267467514479237	0.02620755877266017	-0.06121353886831345	-0.1029770475006655
C08.3persProns	0.4266762836760202	-0.38648096139995397	0.15900887839869232	-0.00887070701959214	-0.05654981474057743	0.0838460216744667	-0.15358466514695276	-0.09584400766731827	-0.01707821526817864	0.2204435321092933
C09.impersProns	0.5578150416864186	-0.05206471345851359	0.2407955034616249	0.06578791966822145	0.04779497189301664	-0.1528542637716409	0.2727167811183051	-0.00050496163102848	0.02410856545209883	0.16922933969132645
C10.demonstrProns	-0.12061525402605497	0.1903089591883381	0.28818292896823383	0.03580446312122458	0.050281582791046345	0.0975245027701491	0.3266312939843273	0.05179676994453868	0.007911863407760006	0.09636637255444373
C11.indefProns	0.6529937440809884	-0.04587396792983027	0.13446319439788054	0.04546255163084208	0.003932236366803118	0.0023764128320896915	0.06381150943473866	-0.05954895719099589	-0.0024777294747736567	0.09915068138347741
C12.doAsProVerb	0.8929764414488345	0.18656396341618886	-0.031392832240528495	-0.10630011839987925	-0.018241399657388344	-0.0012783549898734035	0.1456323684874871	-0.1301341826402388	-0.06870311124452363	-0.0061760481614848576
D13.whQuestions	0.5140651086503799	0.09461018709232656	0.1252660496665691	0.1398061227141366	0.06689483120382515	0.1791188950672773	-0.17065979643718102	-0.014379570827343126	-0.11882975057613716	0.17619091613615362
E14.nominalizations	-0.5878336931167724	0.11313400569854465	0.1085039223364382	-0.18752552999058525	0.11973691723575755	0.07926692485338432	0.39493938373022924	-0.09441189418320577	-0.15584798698403252	-0.008500870162083523
E16.Nouns	-0.5450129034219248	0.07624668167928016	-0.14459664631697455	-0.05888852562084488	0.16678487780843648	-0.1995688833890423	-0.07071460695913048	-0.015341579335782545	-0.135425825084203	-0.23117801524392795
G19.beAsMain	0.19547269469905665	0.07433203475821556	-0.0528722577132027	0.8922838045870485	-0.03624685550674614	-0.11945763113485496	0.011225866093169739	0.036529815646826835	-0.04272725135431722	0.025305317659564234
H33.piedPiping	-0.11845219549301877	0.2068577566266726	0.06664091871919893	-0.0330314928185283	0.034718602313870875	-0.0070636651417046465	0.17364949835631704	0.695439681217567	0.05505323363641325	0.13157808953615374
